,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
685,gpt-3.5-turbo,Amplified Bible,15,39,"from nothing] the heavens and the earth. 
2The earth was formless and void or a waste and emptiness, and darkness was upon the face of the deep [primeval ocean that covered the unformed earth","['from', 'nothing', ']', 'the', 'heavens', 'and', 'the', 'earth', '.', '\n', '2The', 'earth', 'was', 'formless', 'and', 'void', 'or']","['""', 'without', 'any', 'form', 'of', 'life', ';', 'and', 'darkness', 'was', 'upon', 'the', 'face', 'of', 'the', 'deep', '.', '""']","['a', 'waste', 'and', 'emptiness', ',', 'and', 'darkness', 'was', 'upon', 'the', 'face', 'of', 'the', 'deep', '[', 'primeval', 'ocean', 'that']",0.6111111111111112,14,48
134,gpt-3.5-turbo,Christian Standard Bible ,18,32,"Now the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit of God was hovering over the surface of the waters. 
","['Now', 'the', 'earth', 'was', 'formless']","['and', 'empty', ',', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', ',', 'and', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']","['and', 'empty', ',', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', ',', 'and', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.0,17,47
30,gpt-3.5-turbo,Christian Standard Bible ,18,22,"Now the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit of God","['Now', 'the', 'earth', 'was', 'formless']","['and', 'empty', ',', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', ',', 'and', 'the', 'Spirit', 'of', 'God']","['and', 'empty', ',', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', ',', 'and', 'the', 'Spirit', 'of', 'God']",0.0,17,38
120,gpt-3.5-turbo,Christian Standard Bible ,18,36,"Now the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit of God was hovering over the surface of the waters. 
3 Then God said","['Now', 'the', 'earth', 'was', 'formless', 'and', 'empty', ',', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', ',', 'and']","['the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'waters', '.']","['the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of']",0.2,17,44
914,gpt-3.5-turbo,King James Bible,19,21,", and void; and darkness was upon the face of the deep. And the Spirit of God moved upon","[',', 'and', 'void', ';', 'and', 'darkness']","['was', 'upon', 'the', 'face', 'of', 'the', 'deep', '.']","['was', 'upon', 'the', 'face', 'of', 'the', 'deep', '.']",0.0,18,31
882,gpt-3.5-turbo,King James Bible,21,20,void; and darkness was upon the face of the deep. And the Spirit of God moved upon the,"['void', ';', 'and', 'darkness', 'was', 'upon', 'the']","['face', 'of', 'the', 'deep', '.']","['face', 'of', 'the', 'deep', '.']",0.0,20,31
399,gpt-3.5-turbo,New Living Translation Bible,21,22,", and darkness covered the deep waters. And the Spirit of God was hovering over the surface of the waters.","[',', 'and', 'darkness', 'covered', 'the', 'deep', 'waters', '.']","['""', 'And', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters']","['And', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.1428571428571428,20,41
523,gpt-3.5-turbo,New Living Translation Bible,21,23,", and darkness covered the deep waters. And the Spirit of God was hovering over the surface of the waters.
","[',', 'and', 'darkness', 'covered', 'the', 'deep', 'waters', '.', 'And']","['the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']","['the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.0,20,41
681,gpt-3.5-turbo,Amplified Bible,22,38,"earth. 
2The earth was formless and void or a waste and emptiness, and darkness was upon the face of the deep [primeval ocean that covered the unformed earth]. The Spirit of God","['earth', '.', '\n', '2The', 'earth', 'was', 'formless', 'and', 'void', 'or', 'a', 'waste', 'and', 'emptiness', ',', 'and', 'darkness']","['was', 'upon', 'the', 'face', 'of', 'the', 'deep', '[', 'primeval', 'ocean', 'that', 'covered', 'the', 'unformed', 'earth', ']', '.']","['was', 'upon', 'the', 'face', 'of', 'the', 'deep', '[', 'primeval', 'ocean', 'that', 'covered', 'the', 'unformed', 'earth', ']', '.']",0.0,21,54
93,gpt-3.5-turbo,Christian Standard Bible ,22,38,"formless and empty, darkness covered the surface of the watery depths, and the Spirit of God was hovering over the surface of the waters. 
3 Then God said, “Let there be light","['formless', 'and', 'empty', ',', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths']","['""', 'And', 'God', 'said', ',', ""'"", 'Let', 'there', 'be', 'light', ',', ""'"", 'and', 'there', 'was', 'light', '.', '""']","[',', 'and', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.', '\n', '3', 'Then']",1.0,21,50
160,gpt-3.5-turbo,Christian Standard Bible ,23,28,"and empty, darkness covered the surface of the watery depths, and the Spirit of God was hovering over the surface of the waters. 
3","['and', 'empty', ',', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', ',']","['and', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']","['and', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.0,22,47
122,gpt-3.5-turbo,Christian Standard Bible ,24,37,"empty, darkness covered the surface of the watery depths, and the Spirit of God was hovering over the surface of the waters. 
3 Then God said, “Let there be light,","['empty', ',', 'darkness', 'covered', 'the']","['empty', ',', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'deep', '.']","['surface', 'of', 'the', 'watery', 'depths', ',', 'and', 'the', 'Spirit', 'of']",0.9,23,37
314,gpt-3.5-turbo,English Standard Bible,25,40,"earth was bwithout form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over the face of the waters.
3 And God said, c“Let there be","['earth', 'was', 'bwithout', 'form', 'and', 'void', ',', 'and', 'darkness', 'was', 'over', 'the', 'face', 'of']","['the', 'deep', '.']","['the', 'deep', '.']",0.0,24,40
900,gpt-3.5-turbo,King James Bible,25,34,"was upon the face of the deep. And the Spirit of God moved upon the face of the waters.
3And God said, Let there be light: and there was","['was', 'upon', 'the', 'face', 'of', 'the', 'deep', '.', 'And', 'the', 'Spirit', 'of', 'God', 'moved', 'upon']","['the', 'face', 'of', 'the', 'waters', '.']","['the', 'face', 'of', 'the', 'waters', '.']",0.0,24,44
188,gpt-3.5-turbo,Christian Standard Bible ,26,23,"darkness covered the surface of the watery depths, and the Spirit of God was hovering over the surface of the waters.","['darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', ',', 'and']","['the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']","['the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.0,25,47
69,gpt-3.5-turbo,Christian Standard Bible ,26,39,"darkness covered the surface of the watery depths, and the Spirit of God was hovering over the surface of the waters. 
3 Then God said, “Let there be light,” and there was","['darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', ',', 'and', 'the']","['Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']","['Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.0,25,47
593,gpt-3.5-turbo,New Living Translation Bible,28,33,". And the Spirit of God was hovering over the surface of the waters.
3 Then God said, “Let there be light,” and there was light.","['.', 'And', 'the', 'Spirit', 'of']","['God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']","['God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.0,27,41
515,gpt-3.5-turbo,New Living Translation Bible,29,23,"And the Spirit of God was hovering over the surface of the waters.
3 Then God said, “Let there","['And', 'the', 'Spirit', 'of', 'God']","['was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']","['was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.0,28,41
193,gpt-3.5-turbo,Christian Standard Bible ,29,37,"surface of the watery depths, and the Spirit of God was hovering over the surface of the waters. 
3 Then God said, “Let there be light,” and there was light","['surface', 'of', 'the', 'watery', 'depths', ',', 'and', 'the', 'Spirit', 'of', 'God', 'was', 'hovering']","['over', 'the', 'surface', 'of', 'the', 'waters', '.']","['over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.0,28,47
636,gpt-3.5-turbo,Amplified Bible,32,31,"a waste and emptiness, and darkness was upon the face of the deep [primeval ocean that covered the unformed earth]. The Spirit of God was moving (","['a', 'waste', 'and', 'emptiness', ',', 'and', 'darkness', 'was', 'upon', 'the', 'face', 'of', 'the', 'deep', '[']","[']', '.']","['primeval', 'ocean']",1.0,31,47
171,gpt-3.5-turbo,Christian Standard Bible ,32,30,"watery depths, and the Spirit of God was hovering over the surface of the waters. 
3 Then God said, “Let there be light,”","['watery', 'depths', ',', 'and', 'the', 'Spirit', 'of', 'God', 'was']","['hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']","['hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.0,31,47
642,gpt-3.5-turbo,Amplified Bible,32,38,"a waste and emptiness, and darkness was upon the face of the deep [primeval ocean that covered the unformed earth]. The Spirit of God was moving (hovering, brooding) over the face","['a', 'waste', 'and', 'emptiness', ',', 'and', 'darkness', 'was', 'upon', 'the', 'face', 'of', 'the', 'deep', '[']","[']', '.']","['primeval', 'ocean']",1.0,31,47
101,gpt-3.5-turbo,Christian Standard Bible ,32,20,"watery depths, and the Spirit of God was hovering over the surface of the waters. 
3 Then","['watery', 'depths', ',', 'and', 'the']","['mountains', 'to', 'the', 'hills', '.']","['Spirit', 'of', 'God', 'was', 'hovering']",1.0,31,40
363,gpt-3.5-turbo,English Standard Bible,33,33,"darkness was over the face of the deep. And the Spirit of God was hovering over the face of the waters.
3 And God said, c“Let there be light","['darkness', 'was', 'over', 'the', 'face', 'of', 'the', 'deep', '.']","['""', 'And', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'face', 'of', 'the', 'waters', '.', '""']","['And', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'face', 'of', 'the', 'waters', '.', '\n', '3']",0.1875,32,56
413,gpt-3.5-turbo,New Living Translation Bible,33,30,"God was hovering over the surface of the waters.
3 Then God said, “Let there be light,” and there was light.
4","['God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the', 'waters']","['""', 'And', 'God', 'said', ',', ""'"", 'Let', 'there', 'be', 'light', ',', ""'"", 'and', 'there', 'was', 'light', '.', '""']","['.', '\n', '3', 'Then', 'God', 'said', ',', '“', 'Let', 'there', 'be', 'light', ',', '”', 'and', 'there', 'was', 'light']",0.4444444444444444,32,58
71,gpt-3.5-turbo,Christian Standard Bible ,35,33,"and the Spirit of God was hovering over the surface of the waters. 
3 Then God said, “Let there be light,” and there was light. 
","['and', 'the', 'Spirit', 'of', 'God', 'was']","['hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']","['hovering', 'over', 'the', 'surface', 'of', 'the', 'waters', '.']",0.0,34,47
111,gpt-3.5-turbo,Christian Standard Bible ,35,27,"and the Spirit of God was hovering over the surface of the waters. 
3 Then God said, “Let there be light,”","['and', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'surface', 'of', 'the']","['waters', '.']","['waters', '.']",0.0,34,47
686,gpt-3.5-turbo,Amplified Bible,36,38,", and darkness was upon the face of the deep [primeval ocean that covered the unformed earth]. The Spirit of God was moving (hovering, brooding) over the face of the waters.","[',', 'and', 'darkness', 'was', 'upon', 'the', 'face', 'of', 'the', 'deep', '[', 'primeval', 'ocean']","[']', ',', 'and', 'the', 'Spirit', 'of', 'God', 'was', 'moving', '(', 'hovering', ',', 'brooding', ')', 'over', 'the', 'face', 'of', 'the', 'waters', '.']","['that', 'covered', 'the', 'unformed', 'earth', ']', '.', 'The', 'Spirit', 'of', 'God', 'was', 'moving', '(', 'hovering', ',', 'brooding', ')', 'over', 'the', 'face']",0.5714285714285714,35,68
234,gpt-3.5-turbo,English Standard Bible,36,37,"the face of the deep. And the Spirit of God was hovering over the face of the waters.
3 And God said, c“Let there be light,” and there was light.","['the', 'face', 'of', 'the', 'deep', '.']","['""', 'And', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', '""']","['And', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'face']",0.3,35,50
491,gpt-3.5-turbo,New Living Translation Bible,39,21,"of the waters.
3 Then God said, “Let there be light,” and there was light","['of', 'the', 'waters', '.', '\n', '3', 'Then']","['God', 'said', ',', '""', 'Let', 'there', 'be', 'light', ',', '""', 'and', 'there', 'was', 'light']","['God', 'said', ',', '“', 'Let', 'there', 'be', 'light', ',', '”', 'and', 'there', 'was', 'light']",0.1428571428571428,38,58
966,gpt-3.5-turbo,King James Bible,41,25,"face of the waters.
3And God said, Let there be light: and there was light.
4And God saw the","['face', 'of', 'the', 'waters', '.', '\n', '3And', 'God', 'said', ',', 'Let', 'there']","['be', 'light', ':', 'and', 'there', 'was', 'light', '.']","['be', 'light', ':', 'and', 'there', 'was', 'light', '.']",0.0,40,59
697,gpt-3.5-turbo,Amplified Bible,42,32,"face of the deep [primeval ocean that covered the unformed earth]. The Spirit of God was moving (hovering, brooding) over the face of the waters.","['face', 'of', 'the', 'deep', '[', 'primeval', 'ocean', 'that', 'covered', 'the']","['face', 'of', 'the', 'deep', '[', 'primeval', 'ocean', 'that', 'covered', 'the', ']', 'earth', ']', '.']","['unformed', 'earth', ']', '.', 'The', 'Spirit', 'of', 'God', 'was', 'moving', '(', 'hovering', ',', 'brooding']",1.0,41,64
249,gpt-3.5-turbo,English Standard Bible,44,24,"Spirit of God was hovering over the face of the waters.
3 And God said, c“Let there be light,”","['Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'face', 'of', 'the']","['waters', '.']","['waters', '.']",0.0,43,54
969,gpt-3.5-turbo,King James Bible,44,25,"waters.
3And God said, Let there be light: and there was light.
4And God saw the light, that","['waters', '.', '\n', '3And', 'God', 'said', ',', 'Let', 'there', 'be', 'light']","[':', '""', 'And', 'God', 'said', ',', 'Let', 'there', 'be', 'light', ':', 'and', 'there', 'was']","[':', 'and', 'there', 'was', 'light', '.', '\n', '4And', 'God', 'saw', 'the', 'light', ',', 'that']",0.9285714285714286,43,67
822,gpt-3.5-turbo,King James Bible,51,39,"Let there be light: and there was light.
4And God saw the light, that it was good: and God divided the light from the darkness.
5And God called the light Day,","['Let', 'there', 'be', 'light', ':']","['and', 'there', 'was', 'light', '.']","['and', 'there', 'was', 'light', '.']",0.0,50,59
571,gpt-3.5-turbo,New Living Translation Bible,51,21,"there be light,” and there was light.
4 And God saw that the light was good.","['there', 'be', 'light', ',', '”', 'and', 'there', 'was', 'light']","['""', 'Let', 'there', 'be', 'light', ',', '""', 'and', 'there', 'was', 'light', '.']","['.', '\n', '4', 'And', 'God', 'saw', 'that', 'the', 'light', 'was', 'good', '.']",0.8333333333333334,50,70
562,gpt-3.5-turbo,New Living Translation Bible,51,27,"there be light,” and there was light.
4 And God saw that the light was good. Then he separated the light from","['there', 'be', 'light', ',', '”', 'and', 'there', 'was', 'light']","['""', 'Let', 'there', 'be', 'light', ',', '""', 'and', 'there', 'was', 'light', '.']","['.', '\n', '4', 'And', 'God', 'saw', 'that', 'the', 'light', 'was', 'good', '.']",0.8333333333333334,50,70
369,gpt-3.5-turbo,English Standard Bible,51,35,"face of the waters.
3 And God said, c“Let there be light,” and there was light. 
4 And God saw that the light was good. And God","['face', 'of', 'the', 'waters', '.', '\n', '3', 'And', 'God', 'said', ',', 'c“Let', 'there', 'be', 'light']","[',', '""', 'and', 'there', 'was', 'light', '.', '""']","[',', '”', 'and', 'there', 'was', 'light', '.', '\n']",0.25,50,72
594,gpt-3.5-turbo,New Living Translation Bible,52,36,"be light,” and there was light.
4 And God saw that the light was good. Then he separated the light from the darkness.
5 God called the light “","['be', 'light', ',', '”', 'and', 'there', 'was', 'light', '.', '\n', '4', 'And', 'God', 'saw', 'that', 'the', 'light', 'was']","['good', '.']","['good', '.']",0.0,51,70
977,gpt-3.5-turbo,King James Bible,52,35,"there be light: and there was light.
4And God saw the light, that it was good: and God divided the light from the darkness.
5And God called the","['there', 'be', 'light', ':', 'and', 'there', 'was', 'light', '.', '\n', '4And', 'God']","['saw', 'the', 'light', ',', 'that', 'it', 'was', 'good', ':', 'and', 'God', 'divided', 'the', 'light', 'from', 'the', 'darkness', '.']","['saw', 'the', 'light', ',', 'that', 'it', 'was', 'good', ':', 'and', 'God', 'divided', 'the', 'light', 'from', 'the', 'darkness', '.']",0.0,51,80
90,gpt-3.5-turbo,Christian Standard Bible ,52,34,"God said, “Let there be light,” and there was light. 
4 God saw that the light was good, and God separated the light from the darkness.","['God', 'said', ',', '“', 'Let', 'there', 'be', 'light', ',', '”', 'and', 'there', 'was']","['light', '.']","['light', '.']",0.0,51,65
940,gpt-3.5-turbo,King James Bible,53,32,"be light: and there was light.
4And God saw the light, that it was good: and God divided the light from the darkness.
5And God","['be', 'light', ':', 'and', 'there', 'was', 'light', '.']","['""', 'And', 'God', 'said', ',', 'Let', 'there', 'be', 'light', ':', 'and', 'there', 'was', 'light', '.', '""']","['\n', '4And', 'God', 'saw', 'the', 'light', ',', 'that', 'it', 'was', 'good', ':', 'and', 'God', 'divided', 'the']",0.875,52,75
197,gpt-3.5-turbo,Christian Standard Bible ,55,21,"“Let there be light,” and there was light. 
4 God saw that the light was good","['“', 'Let', 'there', 'be', 'light', ',', '”', 'and']","['there', 'was', 'light', '.']","['there', 'was', 'light', '.']",0.0,54,65
395,gpt-3.5-turbo,English Standard Bible,55,27,".
3 And God said, c“Let there be light,” and there was light. 
4 And God saw that the light was","['.', '\n', '3', 'And', 'God', 'said', ',', 'c“Let']","['there', 'be', 'light', ',', '”', 'and', 'there', 'was', 'light', '.']","['there', 'be', 'light', ',', '”', 'and', 'there', 'was', 'light', '.']",0.0,54,71
698,gpt-3.5-turbo,Amplified Bible,55,35,". The Spirit of God was moving (hovering, brooding) over the face of the waters. 
3And God said, “Let there be light”; and there was light","['.', 'The', 'Spirit', 'of', 'God', 'was', 'moving', '(', 'hovering', ',', 'brooding']","[')', 'over', 'the', 'face', 'of', 'the', 'waters', '.']","[')', 'over', 'the', 'face', 'of', 'the', 'waters', '.']",0.0,54,72
651,gpt-3.5-turbo,Amplified Bible,56,25,"The Spirit of God was moving (hovering, brooding) over the face of the waters. 
3And God said, “Let","['The', 'Spirit', 'of', 'God', 'was', 'moving', '(', 'hovering', ',']","['brooding', ')', 'over', 'the', 'face', 'of', 'the', 'waters', '.']","['brooding', ')', 'over', 'the', 'face', 'of', 'the', 'waters', '.']",0.0,55,72
536,gpt-3.5-turbo,New Living Translation Bible,56,34,"and there was light.
4 And God saw that the light was good. Then he separated the light from the darkness.
5 God called the light “day”","['and', 'there', 'was', 'light', '.', '\n', '4', 'And', 'God', 'saw', 'that', 'the']","['light', 'was', 'good', '.']","['light', 'was', 'good', '.']",0.0,55,70
78,gpt-3.5-turbo,Christian Standard Bible ,57,32,"there be light,” and there was light. 
4 God saw that the light was good, and God separated the light from the darkness. 
5 God","['there', 'be', 'light', ',', '”', 'and', 'there', 'was', 'light', '.', '\n', '4', 'God', 'saw', 'that', 'the']","['light', 'was', 'good', ',', 'and', 'he', 'separated', 'the', 'light', 'from', 'the', 'darkness', '.']","['light', 'was', 'good', ',', 'and', 'God', 'separated', 'the', 'light', 'from', 'the', 'darkness', '.']",0.0769230769230769,56,84
874,gpt-3.5-turbo,King James Bible,64,37,"saw the light, that it was good: and God divided the light from the darkness.
5And God called the light Day, and the darkness he called Night. And the evening and","['saw', 'the', 'light', ',', 'that', 'it', 'was', 'good', ':', 'and', 'God', 'divided']","['the', 'light', 'from', 'the', 'darkness', '.']","['the', 'light', 'from', 'the', 'darkness', '.']",0.0,63,80
840,gpt-3.5-turbo,King James Bible,65,37,"the light, that it was good: and God divided the light from the darkness.
5And God called the light Day, and the darkness he called Night. And the evening and the","['the', 'light', ',', 'that', 'it', 'was', 'good', ':', 'and', 'God', 'divided', 'the']","['light', 'from', 'the', 'darkness', '.']","['light', 'from', 'the', 'darkness', '.']",0.0,64,80
703,gpt-3.5-turbo,Amplified Bible,66,36,") over the face of the waters. 
3And God said, “Let there be light”; and there was light. 
4God saw that the light was good (pleasing,","[')', 'over', 'the', 'face', 'of', 'the', 'waters', '.', '\n', '3And', 'God', 'said', ',']","['""', 'Let', 'there', 'be', 'light', '.', '""']","['“', 'Let', 'there', 'be', 'light', '”', ';']",0.4285714285714285,65,84
552,gpt-3.5-turbo,New Living Translation Bible,66,21,"that the light was good. Then he separated the light from the darkness.
5 God called the light","['that', 'the', 'light', 'was', 'good', '.', 'Then', 'he', 'separated', 'the']","['light', 'from', 'the', 'darkness', '.']","['light', 'from', 'the', 'darkness', '.']",0.0,65,79
255,gpt-3.5-turbo,English Standard Bible,67,38,"” and there was light. 
4 And God saw that the light was good. And God separated the light from the darkness. 
5 God called the light Day, and the darkness he","['”', 'and', 'there', 'was', 'light', '.', '\n']","['""', 'And', 'God', 'saw', 'that', 'the', 'light', 'was', 'good', '.', '""']","['4', 'And', 'God', 'saw', 'that', 'the', 'light', 'was', 'good', '.', 'And']",0.1818181818181818,66,83
354,gpt-3.5-turbo,English Standard Bible,67,38,"” and there was light. 
4 And God saw that the light was good. And God separated the light from the darkness. 
5 God called the light Day, and the darkness he","['”', 'and', 'there', 'was', 'light', '.', '\n', '4', 'And', 'God', 'saw', 'that', 'the', 'light', 'was', 'good']","['""', 'And', 'God', 'separated', 'the', 'light', 'from', 'the', 'darkness', '.', '""']","['.', 'And', 'God', 'separated', 'the', 'light', 'from', 'the', 'darkness', '.', '\n']",0.1818181818181818,66,92
440,gpt-3.5-turbo,New Living Translation Bible,68,23,"light was good. Then he separated the light from the darkness.
5 God called the light “day” and","['light', 'was', 'good', '.', 'Then']","['God', 'said', ',', '""', 'Let', 'there', 'be', 'light', ',', '""', 'and', 'there', 'was', 'light', '.']","['he', 'separated', 'the', 'light', 'from', 'the', 'darkness', '.', '\n', '5', 'God', 'called', 'the', 'light', '“']",0.9333333333333332,67,86
